,Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,File
16,17,Luxembourg,Western Europe,"6,95","9,25","0,87",72.0,"0,92","0,35","0,32",data/raw/world_happiness_2015.csv
17,18,Ireland,Western Europe,"6,94","7,9","0,98",71.0,"0,92","0,58","0,48",data/raw/world_happiness_2015.csv
18,19,Belgium,Western Europe,"6,94","7,74","0,92",71.0,"0,87","0,28","0,59",data/raw/world_happiness_2015.csv
19,20,United Arab Emirates,Middle East and North Africa,"6,9","8,44","0,8",68.0,"0,96","0,33","0,3",data/raw/world_happiness_2015.csv
20,21,United Kingdom,Western Europe,"6,87","7,49","0,92",72.0,"0,89","0,65","0,42",data/raw/world_happiness_2015.csv
21,22,Oman,Middle East and North Africa,"6,85","8,05","0,77",66.0,"0,94","0,27","0,41",data/raw/world_happiness_2015.csv
22,23,Venezuela,Latin America and Caribbean,"6,81","6,18","0,9",65.0,"0,64","0,07","0,8",data/raw/world_happiness_2015.csv
23,24,Singapore,Southeast Asia,"6,8",9,"0,73",76.0,"0,81","0,39","0,11",data/raw/world_happiness_2015.csv
24,25,Panama,Latin America and Caribbean,"6,79","6,29","0,85",68.0,"0,81","0,31","0,83",data/raw/world_happiness_2015.csv
25,26,Germany,Western Europe,"6,75","7,86","0,93",71.0,"0,92","0,35","0,6",data/raw/world_happiness_2015.csv
26,27,Chile,Latin America and Caribbean,"6,67","6,55","0,8",70.0,"0,66","0,42","0,77",data/raw/world_happiness_2015.csv
27,28,Qatar,Middle East and North Africa,"6,61",10,"0,77",68.0,"0,96","0,41","0,05",data/raw/world_happiness_2015.csv
28,29,France,Western Europe,"6,57","7,56","0,9",73.0,"0,82","0,15","0,63",data/raw/world_happiness_2015.csv
29,30,Argentina,Latin America and Caribbean,"6,57","6,23","0,89",67.0,"0,67","0,14","0,85",data/raw/world_happiness_2015.csv
30,31,Czech Republic,Central and Eastern Europe,"6,51","6,97","0,86",69.0,"0,69","0,13","0,95",data/raw/world_happiness_2015.csv
31,32,Uruguay,Latin America and Caribbean,"6,49","6,28","0,86",68.0,"0,9","0,29","0,56",data/raw/world_happiness_2015.csv
32,33,Colombia,Latin America and Caribbean,"6,48","5,43","0,88",64.0,"0,8","0,23","0,91",data/raw/world_happiness_2015.csv
33,34,Thailand,Southeast Asia,"6,45","5,72","0,9",65.0,"0,83","0,72","0,94",data/raw/world_happiness_2015.csv
34,35,Saudi Arabia,Middle East and North Africa,"6,41","8,25","0,77",65.0,"0,46","0,17","0,41",data/raw/world_happiness_2015.csv
35,36,Spain,Western Europe,"6,33","7,28","0,94",73.0,"0,69","0,23","0,88",data/raw/world_happiness_2015.csv
36,37,Malta,Western Europe,"6,3","7,14","0,93",71.0,"0,9","0,65","0,75",data/raw/world_happiness_2015.csv
37,38,Taiwan,East Asia,"6,3","7,64","0,77",70.0,"0,59","0,32","0,85",data/raw/world_happiness_2015.csv
38,39,Kuwait,Middle East and North Africa,"6,3","9,19","0,83",65.0,"0,83","0,2","0,54",data/raw/world_happiness_2015.csv
39,40,Suriname,Latin America and Caribbean,"6,27","5,89","0,69",61.0,"0,89","0,21","0,75",data/raw/world_happiness_2015.csv
40,41,Trinidad and Tobago,Latin America and Caribbean,"6,17","7,17","0,84",61.0,"0,83","0,4","0,98",data/raw/world_happiness_2015.csv
41,42,El Salvador,Latin America and Caribbean,"6,13","4,52","0,73",63.0,"0,6","0,13","0,79",data/raw/world_happiness_2015.csv
42,43,Guatemala,Latin America and Caribbean,"6,12","4,41","0,74",62.0,"0,86","0,35","0,83",data/raw/world_happiness_2015.csv
43,44,Uzbekistan,Commonwealth of Independent States,6,"3,74","0,96",60.0,"0,98","0,29","0,44",data/raw/world_happiness_2015.csv
44,45,Slovakia,Central and Eastern Europe,"5,99","6,91","0,91",67.0,"0,47","0,21","0,94",data/raw/world_happiness_2015.csv
45,46,Japan,East Asia,"5,99","7,52","0,9",75.0,"0,74","0,13","0,67",data/raw/world_happiness_2015.csv
46,47,South Korea,East Asia,"5,98","7,36","0,68",74.0,"0,5","0,23","0,86",data/raw/world_happiness_2015.csv
47,48,Ecuador,Latin America and Caribbean,"5,97","5,11","0,71",67.0,"0,73","0,15","0,67",data/raw/world_happiness_2015.csv
48,49,Bahrain,Middle East and North Africa,"5,96","7,83","0,87",66.0,"0,68","0,22","0,45",data/raw/world_happiness_2015.csv
49,50,Italy,Western Europe,"5,95","7,4","0,85",73.0,"0,39","0,29","0,95",data/raw/world_happiness_2015.csv
50,51,Bolivia,Latin America and Caribbean,"5,89","4,03","0,7",58.0,"0,86","0,26","0,84",data/raw/world_happiness_2015.csv
51,52,Moldova,Commonwealth of Independent States,"5,89","3,52","0,72",61.0,"0,49","0,26","0,97",data/raw/world_happiness_2015.csv
52,53,Paraguay,Latin America and Caribbean,"5,88","4,5","0,93",63.0,"0,8","0,43","0,85",data/raw/world_happiness_2015.csv
53,54,Kazakhstan,Commonwealth of Independent States,"5,86","6,64","0,8",62.0,"0,77","0,15","0,85",data/raw/world_happiness_2015.csv
54,55,Slovenia,Central and Eastern Europe,"5,85","7,01","0,91",70.0,"0,91","0,32","0,93",data/raw/world_happiness_2015.csv
55,56,Lithuania,Central and Eastern Europe,"5,83","6,79","0,9",65.0,"0,32","0,03","0,98",data/raw/world_happiness_2015.csv
56,57,Nicaragua,Latin America and Caribbean,"5,83","3,51","0,81",66.0,"0,83","0,35","0,65",data/raw/world_happiness_2015.csv
57,58,Peru,Latin America and Caribbean,"5,82","5,33","0,7",65.0,"0,62","0,19","0,89",data/raw/world_happiness_2015.csv
58,59,Belarus,Commonwealth of Independent States,"5,81","6,1","0,88",65.0,"0,57","0,14","0,65",data/raw/world_happiness_2015.csv
59,60,Poland,Central and Eastern Europe,"5,79","6,66","0,91",67.0,"0,79","0,21","0,92",data/raw/world_happiness_2015.csv
60,61,Malaysia,Southeast Asia,"5,77","6,65","0,76",65.0,"0,79","0,42","0,81",data/raw/world_happiness_2015.csv
61,62,Croatia,Central and Eastern Europe,"5,76","6,4","0,57",67.0,"0,39","0,07","0,96",data/raw/world_happiness_2015.csv
62,63,Libya,Middle East and North Africa,"5,75","6,69","0,8",64.0,"0,62","0,23","0,8",data/raw/world_happiness_2015.csv
63,64,Russia,Commonwealth of Independent States,"5,72","6,73","0,88",63.0,"0,55",0,"0,95",data/raw/world_happiness_2015.csv
64,65,Jamaica,Latin America and Caribbean,"5,71","4,79","0,82",64.0,"0,75","0,27","0,96",data/raw/world_happiness_2015.csv
65,66,North Cyprus,Western Europe,"5,7","7,15","0,76",72.0,"0,73","0,33","0,74",data/raw/world_happiness_2015.csv
66,67,Cyprus,Western Europe,"5,69","7,15","0,64",72.0,"0,61","0,38","0,89",data/raw/world_happiness_2015.csv
67,68,Algeria,Middle East and North Africa,"5,61","5,56","0,77",61.0,"0,43","0,1","0,69",data/raw/world_happiness_2015.csv
68,69,Kosovo,Central and Eastern Europe,"5,59","4,74","0,58",62.0,"0,37","0,36","0,91",data/raw/world_happiness_2015.csv
69,70,Turkmenistan,Commonwealth of Independent States,"5,55","5,67","0,87",58.0,"0,71","0,21","0,44",data/raw/world_happiness_2015.csv
70,71,Mauritius,Sub-Saharan Africa,"5,48","5,96","0,7",64.0,"0,84","0,47","0,86",data/raw/world_happiness_2015.csv
71,72,Hong Kong,East Asia,"5,47","8,2","0,75",75.0,"0,89","0,5","0,33",data/raw/world_happiness_2015.csv
72,73,Estonia,Central and Eastern Europe,"5,43","6,81","0,88",67.0,"0,67","0,11","0,72",data/raw/world_happiness_2015.csv
73,74,Indonesia,Southeast Asia,"5,4","4,9","0,78",62.0,"0,7","0,65",1,data/raw/world_happiness_2015.csv
74,75,Vietnam,Southeast Asia,"5,36","3,74","0,65",66.0,"0,89","0,21","0,81",data/raw/world_happiness_2015.csv
75,76,Turkey,Middle East and North Africa,"5,33","6,28","0,67",65.0,"0,34","0,15","0,71",data/raw/world_happiness_2015.csv
76,77,Kyrgyzstan,Commonwealth of Independent States,"5,29","2,81","0,82",62.0,"0,65","0,38","0,92",data/raw/world_happiness_2015.csv
77,78,Nigeria,Sub-Saharan Africa,"5,27","3,87","0,64",45.0,"0,51","0,34","0,93",data/raw/world_happiness_2015.csv
78,79,Bhutan,South Asia,"5,25","4,56","0,79",59.0,"0,79","0,6","0,72",data/raw/world_happiness_2015.csv
79,80,Azerbaijan,Commonwealth of Independent States,"5,21","6,06","0,67",62.0,"0,55","0,1","0,71",data/raw/world_happiness_2015.csv
80,81,Pakistan,South Asia,"5,19","3,52","0,3",57.0,"0,18","0,42","0,81",data/raw/world_happiness_2015.csv
81,82,Montenegro,Central and Eastern Europe,"5,19","5,76","0,65",65.0,"0,27","0,2","0,74",data/raw/world_happiness_2015.csv
82,83,Jordan,Middle East and North Africa,"5,19","5,34","0,75",64.0,"0,61","0,14","0,74",data/raw/world_happiness_2015.csv
83,84,China,East Asia,"5,14","5,27","0,68",68.0,"0,77","0,1","0,95",data/raw/world_happiness_2015.csv
84,85,Zambia,Sub-Saharan Africa,"5,13","2,78","0,65",50.0,"0,73","0,25","0,77",data/raw/world_happiness_2015.csv
85,86,Romania,Central and Eastern Europe,"5,12","6,17","0,63",67.0,"0,52","0,17","0,99",data/raw/world_happiness_2015.csv
86,87,Serbia,Central and Eastern Europe,"5,12","5,45","0,72",66.0,"0,3","0,24","0,95",data/raw/world_happiness_2015.csv
87,88,Portugal,Western Europe,"5,1","6,86","0,81",70.0,"0,77","0,17","0,98",data/raw/world_happiness_2015.csv
88,89,Latvia,Central and Eastern Europe,"5,1","6,58","0,78",65.0,"0,44","0,23","0,89",data/raw/world_happiness_2015.csv
89,90,Philippines,Southeast Asia,"5,07","4,17","0,74",60.0,"0,93","0,31","0,78",data/raw/world_happiness_2015.csv
90,91,Somaliland region,Sub-Saharan Africa,"5,06","1,11","0,68",55.0,"0,7","0,63","0,28",data/raw/world_happiness_2015.csv
91,92,Morocco,Middle East and North Africa,"5,01","4,35","0,46",61.0,"0,62","0,09","0,85",data/raw/world_happiness_2015.csv
92,93,Macedonia,Central and Eastern Europe,"5,01","5,43","0,71",65.0,"0,5","0,28","0,9",data/raw/world_happiness_2015.csv
93,94,Mozambique,Sub-Saharan Africa,"4,97","0,49","0,73",42.0,"0,51","0,28","0,72",data/raw/world_happiness_2015.csv
94,95,Albania,Central and Eastern Europe,"4,96","5,2","0,57",68.0,"0,53","0,18","0,88",data/raw/world_happiness_2015.csv
95,96,Bosnia and Herzegovina,Central and Eastern Europe,"4,95","4,92","0,66",67.0,"0,14","0,31",1,data/raw/world_happiness_2015.csv
96,97,Lesotho,Sub-Saharan Africa,"4,9","2,22","0,74",41.0,"0,47","0,21","0,77",data/raw/world_happiness_2015.csv
97,98,Dominican Republic,Latin America and Caribbean,"4,89","5,3","0,84",63.0,"0,86","0,27","0,74",data/raw/world_happiness_2015.csv
98,99,Laos,Southeast Asia,"4,88","3,49","0,53",59.0,"0,89","0,53","0,56",data/raw/world_happiness_2015.csv
99,100,Mongolia,East Asia,"4,87","4,9","0,93",60.0,"0,65","0,42","0,95",data/raw/world_happiness_2015.csv
100,101,Swaziland,Sub-Saharan Africa,"4,87","4,21","0,77",41.0,"0,46","0,23","0,94",data/raw/world_happiness_2015.csv
101,102,Greece,Western Europe,"4,86","6,83","0,66",71.0,"0,11",0,"0,97",data/raw/world_happiness_2015.csv
102,103,Lebanon,Middle East and North Africa,"4,84","6,07","0,57",69.0,"0,51","0,27","0,92",data/raw/world_happiness_2015.csv
103,104,Hungary,Central and Eastern Europe,"4,8","6,63","0,86",66.0,"0,48","0,16","0,95",data/raw/world_happiness_2015.csv
104,105,Honduras,Latin America and Caribbean,"4,79","3,52","0,68",64.0,"0,6","0,29","0,88",data/raw/world_happiness_2015.csv
105,106,Tajikistan,Commonwealth of Independent States,"4,79","2,31","0,61",59.0,"0,7","0,29","0,73",data/raw/world_happiness_2015.csv
106,107,Tunisia,Middle East and North Africa,"4,74","5,21","0,43",65.0,"0,39","0,08","0,88",data/raw/world_happiness_2015.csv
107,108,Palestinian Territories,Middle East and North Africa,"4,72","3,54","0,66",63.0,"0,37","0,14","0,77",data/raw/world_happiness_2015.csv
108,109,Bangladesh,South Asia,"4,69","2,35","0,31",60.0,"0,61","0,27","0,77",data/raw/world_happiness_2015.csv
109,110,Iran,Middle East and North Africa,"4,69","5,97","0,39",64.0,"0,45","0,48","0,89",data/raw/world_happiness_2015.csv
110,111,Ukraine,Commonwealth of Independent States,"4,68","4,73","0,86",63.0,"0,38","0,19","0,95",data/raw/world_happiness_2015.csv
111,112,Iraq,Middle East and North Africa,"4,68","5,83","0,58",60.0,0,"0,23","0,75",data/raw/world_happiness_2015.csv
112,113,South Africa,Sub-Saharan Africa,"4,64","5,45","0,84",49.0,"0,5","0,15","0,84",data/raw/world_happiness_2015.csv
113,114,Ghana,Sub-Saharan Africa,"4,63","3,23","0,48",53.0,"0,63","0,29","0,92",data/raw/world_happiness_2015.csv
114,115,Zimbabwe,Sub-Saharan Africa,"4,61","1,6","0,74",51.0,"0,39","0,24","0,85",data/raw/world_happiness_2015.csv
115,116,Liberia,Sub-Saharan Africa,"4,57","0,42","0,56",51.0,"0,43","0,31","0,89",data/raw/world_happiness_2015.csv
116,117,India,South Asia,"4,57","3,82","0,27",57.0,"0,59","0,33","0,85",data/raw/world_happiness_2015.csv
117,118,Sudan,Sub-Saharan Africa,"4,55","3,08","0,72",52.0,"0,15","0,24","0,73",data/raw/world_happiness_2015.csv
118,119,Haiti,Latin America and Caribbean,"4,52","1,58","0,53",53.0,"0,36","0,58","0,69",data/raw/world_happiness_2015.csv
119,120,Congo (Kinshasa),Sub-Saharan Africa,"4,52",0,"0,71",42.0,"0,34","0,31","0,86",data/raw/world_happiness_2015.csv
120,121,Nepal,South Asia,"4,51","2,13","0,62",59.0,"0,57","0,41","0,89",data/raw/world_happiness_2015.csv
121,122,Ethiopia,Sub-Saharan Africa,"4,51","1,13","0,43",55.0,"0,65","0,31","0,73",data/raw/world_happiness_2015.csv
122,123,Sierra Leone,Sub-Saharan Africa,"4,51","1,95","0,68",39.0,"0,61","0,27","0,84",data/raw/world_happiness_2015.csv
123,124,Mauritania,Sub-Saharan Africa,"4,44","2,69","0,62",52.0,"0,36","0,28","0,68",data/raw/world_happiness_2015.csv
124,125,Kenya,Sub-Saharan Africa,"4,42","2,16","0,71",54.0,"0,63","0,47","0,89",data/raw/world_happiness_2015.csv
125,126,Djibouti,Sub-Saharan Africa,"4,37","2,6","0,42",52.0,"0,69","0,23","0,49",data/raw/world_happiness_2015.csv
126,127,Armenia,Commonwealth of Independent States,"4,35","4,54","0,55",65.0,"0,3","0,1","0,93",data/raw/world_happiness_2015.csv
127,128,Botswana,Sub-Saharan Africa,"4,33","5,88","0,79",40.0,"0,74","0,13","0,77",data/raw/world_happiness_2015.csv
128,129,Myanmar,Southeast Asia,"4,31","1,6","0,51",56.0,"0,66",1,"0,66",data/raw/world_happiness_2015.csv
129,130,Georgia,Commonwealth of Independent States,"4,3","4,39","0,28",65.0,"0,61","0,07","0,31",data/raw/world_happiness_2015.csv
130,131,Malawi,Sub-Saharan Africa,"4,29","0,09","0,29",47.0,"0,64","0,42","0,87",data/raw/world_happiness_2015.csv
131,132,Sri Lanka,South Asia,"4,27","4,94","0,73",64.0,"0,8","0,51","0,83",data/raw/world_happiness_2015.csv
132,133,Cameroon,Sub-Saharan Africa,"4,25","2,5","0,63",47.0,"0,74","0,26","0,9",data/raw/world_happiness_2015.csv
133,134,Bulgaria,Central and Eastern Europe,"4,22","5,99","0,79",66.0,"0,46","0,15","0,98",data/raw/world_happiness_2015.csv
134,135,Egypt,Middle East and North Africa,"4,19","5,22","0,53",61.0,"0,26","0,14","0,89",data/raw/world_happiness_2015.csv
135,136,Yemen,Middle East and North Africa,"4,08","3,23","0,49",53.0,"0,53","0,11","0,86",data/raw/world_happiness_2015.csv
136,137,Angola,Sub-Saharan Africa,"4,03","4,48","0,61",45.0,"0,16","0,16","0,87",data/raw/world_happiness_2015.csv
137,138,Mali,Sub-Saharan Africa,"3,99","1,54","0,74",46.0,"0,58","0,24","0,78",data/raw/world_happiness_2015.csv
138,139,Congo (Brazzaville),Sub-Saharan Africa,"3,99","4,01","0,47",50.0,"0,62","0,16","0,79",data/raw/world_happiness_2015.csv
139,140,Comoros,Sub-Saharan Africa,"3,96","1,41","0,57",52.0,"0,34","0,22","0,64",data/raw/world_happiness_2015.csv
140,141,Uganda,Sub-Saharan Africa,"3,93","1,25","0,81",51.0,"0,68","0,37","0,87",data/raw/world_happiness_2015.csv
141,142,Senegal,Sub-Saharan Africa,"3,9","2,16","0,7",54.0,"0,55","0,26","0,81",data/raw/world_happiness_2015.csv
142,143,Gabon,Sub-Saharan Africa,"3,9","6,27","0,65",54.0,"0,48","0,09","0,8",data/raw/world_happiness_2015.csv
143,144,Niger,Sub-Saharan Africa,"3,85","0,41","0,55",49.0,"0,71","0,24","0,72",data/raw/world_happiness_2015.csv
144,145,Cambodia,Southeast Asia,"3,82","2,72","0,45",61.0,"0,99","0,51","0,87",data/raw/world_happiness_2015.csv
145,146,Tanzania,Sub-Saharan Africa,"3,78","1,69","0,72",53.0,"0,49","0,43","0,9",data/raw/world_happiness_2015.csv
146,147,Madagascar,Sub-Saharan Africa,"3,68","1,23","0,48",56.0,"0,29","0,27","0,85",data/raw/world_happiness_2015.csv
147,148,Central African Republic,Sub-Saharan Africa,"3,68","0,46",0,41.0,"0,73","0,3","0,85",data/raw/world_happiness_2015.csv
148,149,Chad,Sub-Saharan Africa,"3,67","2,02","0,54",44.0,"0,35","0,23","0,9",data/raw/world_happiness_2015.csv
149,150,Guinea,Sub-Saharan Africa,"3,66","1,03","0,33",47.0,"0,56","0,36","0,78",data/raw/world_happiness_2015.csv
150,151,Ivory Coast,Sub-Saharan Africa,"3,65","2,75","0,55",44.0,"0,7","0,25","0,68",data/raw/world_happiness_2015.csv
151,152,Burkina Faso,Sub-Saharan Africa,"3,59","1,53","0,61",49.0,"0,59","0,27","0,77",data/raw/world_happiness_2015.csv
152,153,Afghanistan,South Asia,"3,58","1,89","0,22",50.0,"0,35","0,46","0,82",data/raw/world_happiness_2015.csv
153,154,Rwanda,Sub-Saharan Africa,"3,46","1,31","0,55",54.0,"0,88","0,28",0,data/raw/world_happiness_2015.csv
154,155,Benin,Sub-Saharan Africa,"3,34","1,7","0,25",50.0,"0,72","0,23","0,85",data/raw/world_happiness_2015.csv
155,156,Syria,Middle East and North Africa,"3,01","3,92","0,34",65.0,"0,23","0,59","0,66",data/raw/world_happiness_2015.csv
156,157,Burundi,Sub-Saharan Africa,"2,9","0,09","0,3",47.0,"0,18","0,25","0,82",data/raw/world_happiness_2015.csv
157,158,Togo,Sub-Saharan Africa,"2,84","1,23","0,1",49.0,"0,54","0,21","0,81",data/raw/world_happiness_2015.csv
0,111,Sierra Leone,Sub-Saharan Africa,"4,635","9,44368","0,53074",44.0,"0,50429","0,29153","0,16223",data/raw/world_happiness_2016.csv
1,144,Chad,Sub-Saharan Africa,"3,763","9,42133","0,53393",46.0,"0,21048","0,22772","0,09803",data/raw/world_happiness_2016.csv
2,139,Ivory Coast,Sub-Saharan Africa,"3,916","9,97862","0,48659",46.0,"0,66827","0,24811","0,30739",data/raw/world_happiness_2016.csv
3,141,Angola,Sub-Saharan Africa,"3,866","9,9228","0,56087",46.0,"0,00967","0,14726","0,16694",data/raw/world_happiness_2016.csv
4,103,Nigeria,Sub-Saharan Africa,"4,875","9,70016","0,54509",46.0,"0,45776","0,28325","0,06037",data/raw/world_happiness_2016.csv
5,76,Somalia,Sub-Saharan Africa,"5,44",0,"0,28407",49.0,"0,93311","0,33213","0,61717",data/raw/world_happiness_2016.csv
6,114,Cameroon,Sub-Saharan Africa,"4,513","9,62138","0,52856",49.0,"0,70234","0,27668","0,12126",data/raw/world_happiness_2016.csv
7,157,Burundi,Sub-Saharan Africa,"2,905","7,36575","0,19812",51.0,"0,071","0,24753","0,18643",data/raw/world_happiness_2016.csv
8,143,South Sudan,Sub-Saharan Africa,"3,832","9,96735","0,15651",51.0,"0,32314","0,31595","0,25762",data/raw/world_happiness_2016.csv
9,131,Zimbabwe,Sub-Saharan Africa,"4,193","9,51646","0,60408",51.0,"0,41791","0,22573","0,16986",data/raw/world_happiness_2016.csv
10,135,Mali,Sub-Saharan Africa,"4,073","9,73172","0,72962",51.0,"0,45267","0,25697","0,27012",data/raw/world_happiness_2016.csv
11,154,Afghanistan,South Asia,"3,36","9,63815","0,09327",51.0,"0,27002","0,38145","0,14077",data/raw/world_happiness_2016.csv
12,116,South Africa,Sub-Saharan Africa,"4,459","9,95684","0,81177",52.0,"0,69817","0,1666","0,16657",data/raw/world_happiness_2016.csv
13,125,Congo (Kinshasa),Sub-Saharan Africa,"4,272","7,90737","0,68182",52.0,"0,2564","0,31057","0,12025",data/raw/world_happiness_2016.csv
14,151,Guinea,Sub-Saharan Africa,"3,607","8,49819","0,26275",52.0,"0,50869","0,36493","0,23595",data/raw/world_happiness_2016.csv
15,146,Uganda,Sub-Saharan Africa,"3,739","9,8876","0,7689",52.0,"0,71741","0,33063","0,12751",data/raw/world_happiness_2016.csv
16,153,Benin,Sub-Saharan Africa,"3,484","9,21448","0,08805",53.0,"0,65321","0,24619","0,13223",data/raw/world_happiness_2016.csv
17,145,Burkina Faso,Sub-Saharan Africa,"3,739","9,68359","0,53288",53.0,"0,54841","0,29709","0,24807",data/raw/world_happiness_2016.csv
18,150,Liberia,Sub-Saharan Africa,"3,622","7,64019","0,42554",54.0,"0,42316","0,29355","0,09604",data/raw/world_happiness_2016.csv
19,106,Zambia,Sub-Saharan Africa,"4,795","9,96247","0,53885",54.0,"0,70112","0,21795","0,22721",data/raw/world_happiness_2016.csv
20,155,Togo,Sub-Saharan Africa,"3,303","9,51589",0,54.0,"0,56991","0,21369","0,22935",data/raw/world_happiness_2016.csv
21,142,Niger,Sub-Saharan Africa,"3,856","5,01702","0,51155",55.0,"0,62517","0,25582","0,33999",data/raw/world_happiness_2016.csv
22,136,Haiti,Latin America and Caribbean,"4,028","9,99461","0,24983",55.0,"0,1984","0,58506","0,28653",data/raw/world_happiness_2016.csv
23,127,Congo (Brazzaville),Sub-Saharan Africa,"4,236","9,64441","0,40396",56.0,"0,62348","0,14733","0,19305",data/raw/world_happiness_2016.csv
24,130,Mauritania,Sub-Saharan Africa,"4,201","9,67499","0,7111",56.0,"0,20839","0,27676","0,3554",data/raw/world_happiness_2016.csv
25,132,Malawi,Sub-Saharan Africa,"4,156","7,72189","0,12423",56.0,"0,68088","0,37779","0,14971",data/raw/world_happiness_2016.csv
26,124,Ghana,Sub-Saharan Africa,"4,276","9,28626","0,41709",56.0,"0,67337","0,25867","0,06453",data/raw/world_happiness_2016.csv
27,133,Sudan,Sub-Saharan Africa,"4,139","9,99269","0,69239",56.0,0,"0,22053","0,1987",data/raw/world_happiness_2016.csv
28,138,Comoros,Sub-Saharan Africa,"3,956","9,80559","0,5098",56.0,"0,25328","0,22289","0,36493",data/raw/world_happiness_2016.csv
29,122,Kenya,Sub-Saharan Africa,"4,356","9,94645","0,64432",56.0,"0,66683","0,50418","0,13234",data/raw/world_happiness_2016.csv
30,147,Yemen,Middle East and North Africa,"3,724","9,34875","0,40138",57.0,"0,37585","0,11981","0,11663",data/raw/world_happiness_2016.csv
31,152,Rwanda,Sub-Saharan Africa,"3,515","9,55183","0,52048",57.0,"0,89271","0,28732",1,data/raw/world_happiness_2016.csv
32,97,Somaliland region,Sub-Saharan Africa,"5,057","9,13349","0,64113",58.0,"0,64307","0,62801","0,72829",data/raw/world_happiness_2016.csv
33,115,Ethiopia,Sub-Saharan Africa,"4,508","9,21583","0,32057",58.0,"0,60319","0,36015","0,33986",data/raw/world_happiness_2016.csv
34,113,Namibia,Sub-Saharan Africa,"4,574","9,98753","0,59464",58.0,"0,79893","0,09509","0,20581",data/raw/world_happiness_2016.csv
35,137,Botswana,Sub-Saharan Africa,"3,974","9,97103","0,75374",58.0,"0,72458","0,15158","0,21317",data/raw/world_happiness_2016.csv
36,134,Gabon,Sub-Saharan Africa,"4,121","9,93276","0,6116",58.0,"0,46176","0,07617","0,18436",data/raw/world_happiness_2016.csv
37,149,Tanzania,Sub-Saharan Africa,"3,666","9,57975","0,65601",59.0,"0,52196","0,38394","0,10093",data/raw/world_happiness_2016.csv
38,148,Madagascar,Sub-Saharan Africa,"3,695","9,92691","0,38973",59.0,"0,22488","0,26887","0,14857",data/raw/world_happiness_2016.csv
39,102,Laos,Southeast Asia,"4,876","9,86262","0,46456",60.0,"0,85734","0,52554","0,44383",data/raw/world_happiness_2016.csv
40,119,Myanmar,Southeast Asia,"4,395","9,78674","0,59143",60.0,"0,70161",1,"0,40069",data/raw/world_happiness_2016.csv
41,92,Pakistan,South Asia,"5,132","9,93634","0,22088",60.0,"0,2403","0,38043","0,27475",data/raw/world_happiness_2016.csv
42,128,Senegal,Sub-Saharan Africa,"4,219","9,91461","0,65426",61.0,"0,51038","0,23305","0,23121",data/raw/world_happiness_2016.csv
43,140,Cambodia,Southeast Asia,"3,907","9,90401","0,45425",61.0,"0,96719","0,49211","0,16018",data/raw/world_happiness_2016.csv
44,65,Turkmenistan,Commonwealth of Independent States,"5,658","9,91722","0,87739",62.0,"0,61477","0,2753","0,56347",data/raw/world_happiness_2016.csv
45,118,India,South Asia,"4,404","9,99974","0,24718",62.0,"0,66205","0,30533","0,17265",data/raw/world_happiness_2016.csv
